property_id,kota,luas_bangunan_m2,luas_tanah_m2,jumlah_kamar_tidur,jumlah_kamar_mandi,jumlah_lantai,garasi,tahun_dibangun,kondisi,jarak_pusat_kota_km,dekat_sekolah,dekat_rs,dekat_mall,jenis_sertifikat,harga_idr
PROP00027,Jakarta Utara,121,266,5,4,2,Ya,1996,Cukup,5.6,Tidak,,Tidak,SHGB,6612283794
PROP00028,Medan,472,687,4,,2,Tidak,1987,Perlu Renovasi,17.7,Tidak,Ya,Ya,Girik,5995018287
PROP00029,Jakarta Selatan,202,311,1,4,3,Tidak,2020,Cukup,3.5,Ya,Ya,Tidak,SHM,
PROP00030,Bandung,569,721,4,1,3,Ya,1991,Baru,14.5,Tidak,Tidak,Ya,Girik,15095276953
PROP00031,Semarang,167,278,1,4,2,Ya,2003,Baru,27.9,Tidak,Ya,Tidak,SHM,3866701836
PROP00032,Bekasi,496,505,6,3,3,Tidak,2006,Cukup,1.5,Ya,Tidak,Ya,SHM,17425374451
PROP00033,Jakarta Utara,247,311,5,2,2,,2010,Cukup,25.7,Ya,Tidak,Tidak,Girik,8290288929
PROP00034,Semarang,27,250,1,3,2,Tidak,1992,Perlu Renovasi,21.6,Tidak,Tidak,Ya,HGB,367752157
PROP00035,Semarang,90,309,3,4,2,Ya,1992,Baru,20.7,Ya,Ya,Tidak,SHGB,1798220953
PROP00036,Jakarta Selatan,420,519,6,4,2,Tidak,2024,Bagus,14.7,Tidak,Ya,Ya,Girik,54647894627
PROP00037,,587,777,3,3,2,Ya,1997,Perlu Renovasi,25.1,Ya,Tidak,Tidak,Girik,
PROP00038,Bandung,458,611,2,1,1,Ya,2011,Cukup,21.4,Tidak,Ya,Tidak,SHM,7128015608
PROP00039,Yogyakarta,361,415,1,1,1,Tidak,2023,Baru,30.5,Ya,Ya,Ya,SHGB,7066312335
PROP00040,Bekasi,529,589,4,1,1,Tidak,1987,Bagus,28.4,Ya,Tidak,Ya,SHGB,11618543306
PROP00041,Yogyakarta,301,323,6,4,2,Tidak,2008,Bagus,33.1,Ya,Tidak,Ya,SHM,4882764906
PROP00042,Semarang,534,590,6,2,3,Tidak,1996,Cukup,,Ya,Tidak,,Strata Title,9391707735
PROP00043,Bekasi,,,6,1,1,Ya,2017,Perlu Renovasi,,Tidak,Ya,Tidak,Strata Title,6054938393
PROP00044,Jakarta Utara,558,599,1,4,1,Tidak,2005,Cukup,9.5,Tidak,Ya,Ya,HGB,15030394313
PROP00045,Bekasi,153,273,5,1,3,Tidak,2018,Perlu Renovasi,33,Tidak,Ya,Tidak,HGB,2202974338
PROP00046,Jakarta Utara,556,610,1,3,3,Ya,2015,Cukup,4.5,Tidak,Ya,,Girik,19694415772
PROP00047,Semarang,174,207,4,1,3,Tidak,1987,Baru,,Ya,Ya,Tidak,SHGB,3039442681
PROP00048,Jakarta Selatan,565,793,5,1,2,Tidak,2007,Perlu Renovasi,14.8,Ya,Ya,Ya,HGB,29876524374
PROP00049,Bandung,184,364,5,3,1,Ya,1999,Baru,14.8,Ya,Tidak,Tidak,Strata Title,7405306589
PROP00050,Jakarta Utara,71,,3,2,1,Ya,2018,Perlu Renovasi,17.8,Tidak,Tidak,Tidak,Strata Title,1491283239
PROP00051,Bali,337,496,4,4,3,Ya,2016,Perlu Renovasi,22.1,Tidak,Tidak,Tidak,HGB,8497590404
PROP00052,Tangerang,211,296,3,2,2,Ya,1997,Baru,26.1,Ya,Ya,Ya,SHGB,7978525796
PROP00053,Jakarta Utara,539,703,6,3,2,Ya,1991,Perlu Renovasi,31.4,Ya,Ya,Tidak,SHM,14099899035
PROP00054,Semarang,133,239,5,2,3,Tidak,2001,Baru,5.6,Tidak,Tidak,Ya,HGB,4334446722
PROP00055,Jakarta Utara,40,243,2,3,1,Ya,1988,Baru,12.3,Tidak,,Tidak,Girik,2168044931
PROP00056,Jakarta Utara,360,548,3,3,2,Tidak,2017,,6.1,Tidak,Tidak,Tidak,SHGB,19519375972
PROP00057,Bandung,380,531,6,1,3,Tidak,2021,Cukup,4.1,Ya,Ya,Tidak,Girik,10956280056
PROP00058,Surabaya,550,717,5,4,1,Ya,2006,Perlu Renovasi,13.8,Tidak,Tidak,Ya,Strata Title,16033248452
PROP00059,Bandung,232,371,2,3,3,Ya,2017,Baru,4.1,Tidak,Tidak,Tidak,,8101119373
PROP00060,Yogyakarta,132,319,2,3,1,Tidak,1998,Baru,5,Ya,Ya,Tidak,Strata Title,3842699577
PROP00061,Yogyakarta,413,531,1,2,2,Ya,2002,Baru,30.4,Tidak,Ya,Tidak,Strata Title,7478273253
PROP00062,Bali,121,152,1,4,1,Ya,2014,Perlu Renovasi,,Tidak,Tidak,,Girik,5104073334
PROP00063,Medan,125,332,,2,1,Ya,1988,Bagus,24,Tidak,Ya,Ya,Girik,1897386774
PROP00064,Tangerang,236,,2,1,1,Tidak,2002,,2.7,Ya,Tidak,Ya,HGB,10683398881
PROP00065,Semarang,118,294,1,3,2,Ya,2015,Baru,14.7,Ya,Ya,Tidak,HGB,3065186578
PROP00066,Semarang,140,183,1,4,2,Tidak,1986,Cukup,33.9,Tidak,Ya,,SHM,1989682570
PROP00067,Tangerang,207,364,6,1,3,Ya,1992,Perlu Renovasi,17.9,Tidak,Ya,Ya,Strata Title,5253101967
PROP00068,Semarang,362,366,3,1,1,Ya,1998,Bagus,3.8,Tidak,Tidak,Tidak,SHGB,9889708836
PROP00069,Jakarta Barat,64,154,,2,3,Tidak,2011,Bagus,32.9,Tidak,Ya,Ya,SHGB,
PROP00070,Tangerang,381,453,6,1,3,Ya,1995,Bagus,17.4,Ya,Ya,Ya,SHGB,16214514494
PROP00071,Semarang,350,469,6,2,2,Tidak,1997,Baru,1.1,Ya,Tidak,Ya,SHM,10952904671
PROP00072,Jakarta Barat,117,294,6,2,3,Tidak,1991,Bagus,32.1,Ya,Ya,Tidak,SHGB,6816561306
PROP00073,Jakarta Utara,91,321,5,2,2,Ya,2020,Cukup,6.7,Tidak,Tidak,Tidak,SHM,3794208138
PROP00074,Jakarta Selatan,284,327,3,2,3,Ya,1998,Cukup,15,Ya,Ya,Ya,SHGB,17838657830
PROP00075,Surabaya,24,118,3,4,2,Tidak,1997,Perlu Renovasi,6.1,Tidak,Tidak,Tidak,SHGB,628691356
PROP00076,Jakarta Barat,595,765,5,3,1,Ya,1992,Perlu Renovasi,3,Ya,Tidak,Ya,,25854918220
PROP00077,Bali,445,476,1,3,2,Ya,1998,Perlu Renovasi,31.6,Tidak,Ya,Ya,Girik,9578482745
PROP00078,Bandung,301,548,6,4,2,Ya,2002,Cukup,13.7,Tidak,Ya,Tidak,SHM,7869989425
PROP00079,Yogyakarta,532,657,3,3,2,Tidak,2009,,6.7,Ya,Tidak,Ya,Girik,14262951711
PROP00080,Semarang,280,491,4,4,3,Ya,2005,Baru,12.9,Ya,Ya,Ya,SHGB,11813670033
PROP00081,Bandung,135,316,2,2,2,Tidak,2011,Bagus,14.2,Tidak,Ya,Tidak,HGB,
PROP00082,Medan,365,528,4,4,3,Tidak,2013,Baru,21.6,Tidak,Tidak,Ya,HGB,9925561134
PROP00083,Semarang,109,331,3,2,2,Ya,2017,Baru,13.8,Tidak,,Tidak,SHM,3347544977
PROP00084,Bali,442,633,3,3,1,Tidak,1995,Cukup,10.4,Ya,Tidak,Tidak,SHM,17145359377
PROP00085,Tangerang,335,335,4,3,2,Ya,1985,Perlu Renovasi,5.3,Tidak,Ya,Ya,SHM,6157692645
PROP00086,Tangerang,310,421,4,,2,Ya,2013,Baru,19.7,Tidak,Tidak,Ya,Strata Title,10003664052
PROP00087,Bekasi,114,350,4,3,3,Tidak,1994,Perlu Renovasi,17.1,Ya,Ya,Ya,HGB,2450819612
PROP00088,Medan,381,494,1,1,1,Tidak,2022,Cukup,16.6,Ya,Tidak,Tidak,SHM,4812417783
PROP00089,Jakarta Selatan,431,514,3,2,3,Ya,2010,Bagus,23.9,Tidak,Tidak,Ya,Girik,36202707935
PROP00090,Bali,168,372,4,4,1,Ya,1995,Perlu Renovasi,8.9,Ya,Tidak,Ya,SHGB,5940503303
PROP00091,Jakarta Selatan,445,531,3,1,3,Tidak,2020,Cukup,9.6,Ya,Ya,Tidak,HGB,43648464264
PROP00092,Bali,487,498,5,,1,Tidak,2021,Baru,4,Ya,Tidak,Tidak,Strata Title,42264702797
PROP00093,Jakarta Barat,409,556,2,1,1,Tidak,2000,Bagus,7.9,Ya,Ya,Ya,Girik,
PROP00094,Surabaya,577,647,2,3,1,Ya,2000,Bagus,11.7,Ya,Ya,Ya,,28441121273
PROP00095,Semarang,146,281,5,1,1,Ya,2002,Cukup,13.7,Ya,Tidak,Ya,HGB,3437813431
PROP00096,Bekasi,229,331,3,3,2,Tidak,2005,Baru,16.9,Ya,,Ya,Girik,7937683612
PROP00097,Jakarta Utara,388,458,5,4,,Ya,2011,Bagus,19.4,Tidak,,Tidak,HGB,17626659330
PROP00098,Bekasi,558,577,2,3,1,Tidak,2021,Baru,18.6,Tidak,Tidak,Tidak,SHGB,18128029564
PROP00099,Tangerang,173,281,3,3,2,Tidak,2002,Perlu Renovasi,15.1,Ya,Ya,Ya,HGB,2792221139
PROP00100,Surabaya,206,286,4,2,2,,1995,Baru,10.9,Tidak,Tidak,Ya,HGB,8306729396
PROP00101,Bekasi,340,512,4,4,2,Tidak,1993,Perlu Renovasi,5.6,Ya,Tidak,Ya,HGB,6650694606
PROP00102,Bekasi,24,30,5,1,2,Ya,1996,Baru,23.8,Tidak,Ya,Ya,SHM,693440511
PROP00103,Bandung,403,618,6,1,3,Ya,2007,Perlu Renovasi,30.9,Tidak,Ya,Ya,SHGB,4789881256
PROP00104,Jakarta Selatan,265,378,5,2,1,Tidak,1991,Bagus,4.8,Ya,,Ya,SHM,21427665049
PROP00105,Surabaya,102,109,2,4,1,Tidak,2022,Perlu Renovasi,19.6,Tidak,Tidak,Tidak,SHGB,
PROP00106,Bandung,,502,3,3,2,Ya,1995,Perlu Renovasi,8.8,Tidak,Tidak,Ya,SHGB,6714143453
PROP00107,Bandung,258,447,1,3,1,Ya,1988,Cukup,24,,Tidak,Ya,SHGB,3926922866
PROP00108,Tangerang,230,435,3,3,2,Ya,2009,Perlu Renovasi,25.9,Tidak,Ya,Ya,SHGB,3505290469
PROP00109,Bekasi,570,652,4,3,1,Ya,2002,Baru,21.2,Tidak,Ya,Tidak,Girik,19117239799
PROP00110,Surabaya,313,411,4,4,3,Ya,1999,Cukup,14,Tidak,Tidak,Tidak,HGB,8038760450
PROP00111,Jakarta Utara,259,303,1,3,3,Ya,2019,Cukup,26.4,Ya,Tidak,Tidak,SHM,8488519139
PROP00112,Bekasi,40,50,4,4,3,Ya,2012,Bagus,9.4,Tidak,Ya,Ya,Strata Title,1229620690
PROP00113,Jakarta Utara,489,537,3,1,1,Tidak,1993,Perlu Renovasi,24,Tidak,Tidak,Tidak,SHGB,9901410918
PROP00114,Tangerang,598,702,2,3,1,,2017,Perlu Renovasi,28.3,Tidak,,Ya,Strata Title,10056842004
PROP00115,Medan,102,301,2,1,,Tidak,2024,baru,20.7,Ya,Ya,,SHGB,2726158005
PROP00116,Bali,338,553,6,4,2,Tidak,1995,Perlu Renovasi,33.8,Tidak,Ya,Tidak,Girik,7054507029
PROP00117,Jakarta Barat,248,440,4,2,1,Tidak,1994,Bagus,29.6,Tidak,Tidak,Tidak,SHM,13311065358
PROP00118,Jakarta Selatan,582,673,3,1,3,Ya,2006,Perlu Renovasi,4.1,Tidak,Ya,Ya,HGB,34060639496
PROP00119,Jakarta Selatan,43,203,2,3,3,Tidak,1998,Baru,16.5,Ya,,Tidak,SHGB,3859571305
PROP00120,Bekasi,537,616,3,1,1,Tidak,2006,Perlu Renovasi,9.1,Ya,Tidak,Ya,Girik,8676643249
PROP00121,Jakarta Utara,400,401,5,2,1,,2015,Baru,13.9,Tidak,Tidak,Ya,SHGB,20490791130
PROP00122,Jakarta Selatan,435,634,2,4,3,Tidak,2015,Perlu Renovasi,18.3,Ya,Tidak,Tidak,SHM,18953851767
PROP00123,Jakarta Selatan,328,478,6,3,3,Ya,1993,Cukup,,Ya,Ya,Tidak,SHM,18691492326
PROP00124,,73,86,6,2,3,Tidak,1986,Bagus,25.5,Tidak,,Ya,HGB,2720905069
PROP00125,Jakarta Utara,26,42,1,1,1,Ya,2014,Bagus,16.2,Tidak,Ya,Ya,Girik,790983416
PROP00126,Yogyakarta,454,547,1,3,3,Tidak,2013,,9.2,Tidak,Ya,Ya,HGB,6213276494
PROP00127,Yogyakarta,582,642,5,2,2,Tidak,1987,Bagus,11.1,Ya,Ya,Tidak,HGB,16447327351
PROP00128,Bandung,74,116,1,1,3,Tidak,2000,Baru,23.5,Ya,Tidak,Ya,Strata Title,1341225291
PROP00129,Jakarta Selatan,22,269,2,3,1,Tidak,2015,Cukup,,Tidak,Tidak,Tidak,SHGB,953395056
PROP00130,Surabaya,437,629,5,2,3,Ya,2003,Bagus,16.5,Ya,Tidak,Tidak,SHM,17772524377
PROP00131,Jakarta Barat,551,708,5,,3,Tidak,1986,Perlu Renovasi,13.7,Ya,Ya,Ya,SHGB,17672400526
PROP00132,Bekasi,24,253,6,3,3,Tidak,2015,Baru,22.6,Tidak,Tidak,Ya,Strata Title,1172230268
PROP00133,Jakarta Utara,522,726,2,3,1,Ya,,Bagus,7.5,Ya,Ya,Tidak,Strata Title,25450174922
PROP00134,Jakarta Utara,309,342,3,1,2,Ya,2019,Bagus,15,Ya,Ya,Tidak,Girik,14698720842
PROP00135,Surabaya,502,614,6,4,3,Ya,1992,Bagus,12.6,Ya,Tidak,Tidak,Girik,20143352404
PROP00136,Jakarta Utara,597,752,6,3,1,Tidak,1987,Bagus,25.8,Tidak,Tidak,Tidak,Girik,19559836931
PROP00137,Bekasi,564,565,,4,2,Ya,2021,Bagus,,Ya,Tidak,Ya,SHGB,19943065130
PROP00138,Jakarta Utara,221,390,1,2,2,Tidak,2018,Cukup,,Tidak,Ya,Tidak,Strata Title,6260607500
PROP00139,Jakarta Barat,292,312,5,1,1,Ya,2014,,23.4,Tidak,Ya,Ya,Strata Title,15519921903
PROP00140,Jakarta Selatan,304,405,3,2,1,Ya,1999,Cukup,5.1,Ya,Ya,Tidak,Strata Title,22042073497
PROP00141,Jakarta Selatan,153,207,6,3,3,Tidak,2018,Cukup,24.9,Tidak,Ya,Ya,Strata Title,8803161329
PROP00142,Bekasi,331,462,5,2,2,Tidak,1990,Cukup,16,Ya,Ya,Tidak,Girik,6927512103
PROP00143,Jakarta Utara,377,,3,3,3,Ya,1991,Cukup,2.1,Ya,Tidak,Tidak,HGB,19291064940
PROP00144,Bekasi,98,149,6,2,1,Tidak,1985,Cukup,12.2,Tidak,Tidak,Ya,Strata Title,3117066491
PROP00145,Jakarta Barat,359,468,1,2,2,Ya,2018,Baru,3.7,,Ya,Ya,SHM,21346366517
PROP00146,Surabaya,96,142,2,1,2,Tidak,1999,Perlu Renovasi,32.2,Ya,,Ya,SHM,1416409297
PROP00147,Bali,377,460,4,2,1,Ya,2017,Perlu Renovasi,4.6,Tidak,Ya,Tidak,HGB,14808264540
PROP00148,Surabaya,572,752,4,4,1,Ya,1994,Baru,10.3,Tidak,Ya,Ya,HGB,33416196100
PROP00149,Bandung,276,523,2,3,1,Ya,2005,Bagus,32.2,,Ya,Tidak,Strata Title,5353129116
PROP00150,Medan,529,734,,,1,Ya,2021,Perlu Renovasi,,Tidak,Tidak,Tidak,SHM,9883070617
PROP00151,Tangerang,369,453,4,1,3,Ya,1999,Cukup,10.8,Ya,Ya,Tidak,SHGB,8563200519
PROP00152,Medan,214,425,4,1,1,Ya,1993,Baru,9.6,Tidak,Ya,Ya,HGB,5249282989
PROP00153,Yogyakarta,426,547,6,1,2,Tidak,1991,Bagus,11.9,Tidak,Ya,Tidak,Strata Title,10295640251
PROP00154,Bali,234,452,3,4,2,Ya,2016,Baru,31.4,Ya,Ya,Ya,Girik,11558247877
PROP00155,Bekasi,391,432,1,1,1,Tidak,2010,Cukup,12.8,Tidak,Tidak,Ya,SHGB,7462893416
PROP00156,Tangerang,428,616,2,3,1,Tidak,1988,Bagus,,Ya,,Tidak,SHM,14396729715
PROP00157,Tangerang,345,462,1,3,3,Ya,1989,Perlu Renovasi,17,Tidak,,Tidak,SHGB,7365439251
PROP00158,Tangerang,517,520,3,1,1,Tidak,2018,Cukup,14.4,Tidak,,,SHGB,18929468574
PROP00159,Jakarta Selatan,218,238,5,1,2,Ya,1991,Bagus,26.7,Tidak,Ya,Tidak,Strata Title,10976227863
PROP00160,Jakarta Utara,97,219,1,,1,Tidak,2022,Perlu Renovasi,14.1,Tidak,Tidak,Ya,,2823798095
PROP00161,Bekasi,521,,4,1,2,Tidak,1987,Baru,,Ya,Tidak,Tidak,HGB,19183160276
PROP00162,Yogyakarta,148,191,5,1,2,Tidak,,Bagus,14.8,Ya,Ya,Tidak,HGB,3782484044
PROP00163,Jakarta Selatan,434,599,3,4,3,Ya,1994,BAGUS,5.7,Ya,Tidak,Tidak,Girik,45423506557
PROP00164,Bali,149,349,1,2,3,Tidak,2020,Baru,8.5,Ya,Tidak,Ya,Strata Title,8852329005
PROP00165,Bali,392,617,5,3,2,Tidak,2021,Perlu Renovasi,0.8,Ya,Ya,,Strata Title,23666502021
PROP00166,Medan,56,224,2,3,1,Tidak,1997,Perlu Renovasi,16.1,Ya,Tidak,Ya,SHM,644935140
PROP00167,Bandung,583,635,3,1,1,Tidak,2017,Cukup,13.8,Ya,Ya,Ya,SHGB,14982470738
PROP00168,Medan,97,251,6,4,1,Tidak,1994,Perlu Renovasi,19.9,Tidak,,Ya,Girik,1189090354
PROP00169,Jakarta Barat,82,137,6,3,1,Tidak,2009,Baru,33.8,Tidak,Tidak,Tidak,Strata Title,3626834548
PROP00170,Tangerang,247,,2,3,1,,2005,Cukup,2.2,Ya,Tidak,Tidak,SHGB,7768200740
PROP00171,Tangerang,47,146,3,3,2,Tidak,2004,Bagus,0.9,Tidak,Tidak,Ya,SHM,1760640850
PROP00172,Jakarta Utara,69,150,3,2,1,Tidak,1992,Perlu Renovasi,11.2,Tidak,Ya,Ya,SHGB,1452547753
PROP00173,Medan,406,531,1,1,3,Ya,2007,Perlu Renovasi,8.3,Ya,Tidak,Tidak,HGB,5702125609
PROP00174,Bekasi,255,422,4,4,2,Tidak,1990,Cukup,15.5,Tidak,Ya,Ya,SHM,6125265102
PROP00175,Tangerang,33,253,,3,2,Tidak,1998,Bagus,29.4,Ya,Ya,Tidak,SHM,1095693252
PROP00176,Bekasi,252,253,4,1,2,Ya,2008,Cukup,4.8,Ya,Ya,Ya,Strata Title,7445841947
PROP00177,Semarang,253,468,3,3,2,Tidak,2023,Perlu Renovasi,32.4,Ya,Tidak,Tidak,Strata Title,2470317249
PROP00178,Yogyakarta,353,449,1,2,2,Ya,2017,Bagus,7.1,Ya,Tidak,Ya,SHGB,10564642594
PROP00179,Medan,387,421,4,4,1,Tidak,2011,,22.3,Ya,Tidak,Ya,SHM,9393733283
PROP00180,Jakarta Utara,307,491,2,,2,Ya,1985,Baru,26.7,Tidak,Tidak,Ya,HGB,9210098417
PROP00181,Semarang,167,256,3,1,3,Ya,2008,Cukup,22.6,Tidak,Tidak,Tidak,SHM,3203992630
PROP00182,Medan,218,324,6,1,3,Tidak,2007,Cukup,2.5,Ya,Ya,Tidak,Girik,6142906245
PROP00183,Tangerang,,272,3,2,1,Ya,1994,Bagus,11.7,Tidak,Ya,Tidak,Strata Title,8864982492
PROP00184,Yogyakarta,334,535,4,3,2,Tidak,1993,Bagus,4.9,Ya,,Tidak,Girik,7482395590
PROP00185,Jakarta Selatan,156,254,6,4,1,Tidak,2021,Perlu Renovasi,12.8,Tidak,Tidak,Tidak,SHM,10640422638
PROP00186,Jakarta Selatan,81,183,5,3,2,Ya,2010,Baru,21,Ya,Ya,Tidak,SHM,9518039920
PROP00187,Bali,506,536,6,4,3,Tidak,1997,Cukup,17.3,Ya,Ya,Ya,SHM,18745114366
PROP00188,Semarang,176,306,2,4,1,Tidak,2010,Baru,21.1,Ya,Ya,Tidak,HGB,5100767424
PROP00189,Tangerang,485,590,4,2,1,Tidak,1995,Bagus,7.6,Ya,,Tidak,SHGB,23117794616
PROP00190,Jakarta Utara,211,291,2,3,1,Tidak,1995,Perlu Renovasi,25.4,Tidak,Ya,Ya,Girik,4219606002
PROP00191,Jakarta Utara,249,392,4,3,2,Ya,1996,Cukup,,Tidak,Ya,Ya,SHM,4882453102
PROP00192,Medan,261,336,5,1,3,Ya,2024,Cukup,14.4,Ya,Tidak,Tidak,SHGB,6059667359
PROP00193,Yogyakarta,409,425,,2,1,Ya,,Baru,15,Ya,Ya,Ya,SHM,9031095942
PROP00194,Yogyakarta,105,145,4,3,2,Ya,2006,Bagus,23.5,Tidak,Tidak,Tidak,SHM,2301479423
PROP00195,,44,257,5,3,3,Tidak,2000,Cukup,8,Ya,Tidak,Tidak,Strata Title,1405908343
PROP00196,Tangerang,395,,6,4,1,Ya,2024,Baru,24.2,Tidak,Ya,Tidak,Strata Title,16250359647
PROP00197,Bandung,318,424,1,1,1,Tidak,1987,Baru,32.8,Ya,Tidak,Ya,Girik,7669536894
PROP00198,Yogyakarta,356,456,1,1,3,Ya,2023,Cukup,15.8,Tidak,Ya,Tidak,HGB,7654859809
PROP00199,Bandung,127,,5,4,3,Ya,2010,Cukup,29,Tidak,Tidak,Tidak,SHM,2406565272
PROP00200,Semarang,366,374,4,2,3,Ya,2010,Cukup,0.5,Tidak,Ya,Ya,SHM,8953876041
PROP00201,Jakarta Utara,555,685,3,4,1,Tidak,2011,,28.9,Ya,Ya,Tidak,HGB,12142181589
PROP00202,Jakarta Barat,329,448,6,3,1,Ya,2015,Cukup,0.9,Tidak,,Tidak,HGB,23956844520
PROP00203,Bali,523,631,2,1,3,,1994,Bagus,28.3,Ya,Ya,Ya,Girik,17974573851
PROP00204,Jakarta Selatan,133,329,3,2,1,Tidak,2023,Baru,8,Tidak,Ya,Tidak,,
PROP00205,Jakarta Utara,174,285,1,2,3,Ya,2014,Baru,9.5,Tidak,Ya,Ya,Strata Title,7705964509
PROP00206,Tangerang,162,171,2,3,3,Tidak,,Bagus,5,Tidak,Ya,Tidak,SHGB,6131299277
PROP00207,Jakarta Barat,,761,3,4,3,Tidak,1993,Cukup,12.8,,Tidak,Tidak,Girik,29198499448
PROP00208,Bandung,114,355,1,3,2,Tidak,1998,Baru,25.6,Tidak,Tidak,Tidak,Girik,2158874773
PROP00209,Bekasi,526,744,3,2,3,Ya,1991,Bagus,34.2,Ya,Tidak,Tidak,SHGB,9196102899
PROP00210,Jakarta Selatan,530,628,2,4,3,,2016,Perlu Renovasi,32.7,Ya,,Tidak,Girik,18512188958
PROP00211,Bandung,55,179,3,4,1,Ya,2024,Cukup,5.4,Tidak,Ya,Tidak,Girik,1904689257
PROP00212,Surabaya,,,3,3,3,Ya,1990,Cukup,0.7,Tidak,Tidak,Tidak,SHM,3777226728
PROP00213,Medan,294,451,,1,3,Ya,1990,Bagus,34.9,Ya,Ya,Tidak,SHM,4723496249
PROP00214,Jakarta Selatan,317,421,5,4,2,Ya,2007,Baru,26.1,Ya,Tidak,Tidak,SHGB,26342113625
PROP00215,Tangerang,173,260,2,4,2,Ya,2021,Cukup,8.2,Ya,Ya,Ya,Strata Title,6404111341
PROP00216,Surabaya,400,583,4,4,2,Ya,2006,Perlu Renovasi,9.6,Tidak,Tidak,Tidak,SHM,13954696750
PROP00217,Semarang,567,753,5,2,,Ya,2022,Perlu Renovasi,21.1,Ya,Tidak,Ya,SHGB,11125738720
PROP00218,Jakarta Utara,279,393,6,3,3,Ya,2011,Baru,9.3,,Tidak,Tidak,Girik,24190425289
PROP00219,Tangerang,120,161,6,2,3,Tidak,2020,Cukup,2.2,Tidak,Ya,Tidak,SHGB,5174764568
PROP00220,Medan,447,537,4,3,3,Ya,2009,Bagus,34.8,Ya,Tidak,,SHM,8456595340
PROP00221,Bali,454,,4,2,1,Ya,1986,Perlu Renovasi,32.2,Tidak,Tidak,Ya,SHM,11183897048
PROP00222,Surabaya,201,327,1,1,,Ya,2008,Bagus,23.9,Ya,Ya,Tidak,HGB,8077916356
PROP00223,Jakarta Barat,358,,4,4,2,Tidak,2004,Bagus,6.4,Ya,Ya,Tidak,SHM,33527776486
